Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330203601
Firmware Version,1.4
Calibration Date,2021/02/02
Protocol Name_Number,3min_155
Test Start Time,14:06:49
Test Start Date,2024/01/28
Test Length [D:H:M:S],0:0:3:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,
Number of Samples,3
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,541,447,313,265,126,194,93,170,99,53,42,22,17,11,4,1,0,0.016235,33.488,0.000,99.578,,,
120,482,398,261,218,91,177,73,147,90,38,31,19,14,12,4,0,1,0.013752,33.437,0.000,99.573,,,
180,318,332,217,173,83,147,56,85,78,38,29,8,4,1,2,1,1,0.010598,33.475,0.000,99.562,,,
