Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330203601
Firmware Version,1.4
Calibration Date,2021/02/02
Protocol Name_Number,3min_411
Test Start Time,18:22:14
Test Start Date,2023/12/23
Test Length [D:H:M:S],0:0:3:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,
Number of Samples,3
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,37,40,35,28,22,24,8,20,15,9,2,2,0,2,0,0,0,0.001592,28.976,0.000,101.961,,,
120,26,36,27,10,8,26,10,15,8,4,5,1,0,0,0,0,0,0.001130,28.975,0.000,101.952,,,
180,18,20,20,13,5,7,8,6,8,0,2,1,2,0,0,0,0,0.000751,29.034,0.000,101.944,,,
