Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330203601
Firmware Version,1.4
Calibration Date,2021/02/02
Protocol Name_Number,3min_129
Test Start Time,10:59:07
Test Start Date,2024/01/28
Test Length [D:H:M:S],0:0:3:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,
Number of Samples,3
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,38,26,19,20,13,11,9,13,15,1,6,1,0,1,0,0,0,0.001095,29.098,0.000,99.775,,,
120,23,21,6,9,9,10,2,6,1,1,3,1,1,0,0,0,1,0.000619,29.089,0.000,99.773,,,
180,11,12,18,5,4,5,7,10,5,0,3,1,0,0,0,0,0,0.000508,29.143,0.000,99.768,,,
